id,product_name,image_name,Description,category,color_name,color_hex,net_weight_grams,top_pick,whats_new
45,,,,LIPS,Queen Marmalade,ff0eb8,4g,,
45,,,,LIPS,Sexy Lady,d4436c,4g,,
46,Red Romance Lipstick,redRomance.jpg,"Few things are more classy and sexy than a red lip—in fact, red lips have been the rage since the days of Cleopatra and have never been out of style. Be on top of your game in love and life with these intensely colored red lipsticks that is bound to be ideal for anything you’ve got in mind.",LIPS,Cherie Amour,470707,4g,,5
46,,,,LIPS,First Crush,b51010,4g,,
46,,,,LIPS,Heartthrob,890404,4g,,
46,,,,LIPS,Miss Valentine,89112A,4g,,
46,,,,LIPS,Prom Date,631010,4g,,
46,,,,LIPS,Sexy Red,840404,4g,,
46,,,,LIPS,True Love,d30015,4g,,
46,,,,LIPS,Warm Kiss,b71313,4g,,
